MMI, ITB_Class, Comp_damage 
7.243172, NEH4.1.2, 1.932399 
7.262373, NEH4.1.3, 2.149578 
7.247175, NEH4.1.2, 1.976116 
7.247632, NEL4.1.2, 13.085517 
7.263659, NEL4.1.3, 13.517066 
7.286535, NEH4.1.2, 2.450907 
7.282645, NEL3.2.1, 1.294683 
7.281398, NEH4.1.2, 2.384121 
7.288532, NEL3.2.1, 1.321880 
7.291076, NEL2.1.1, 0.580331 
7.292312, NEL3.2.1, 1.339591 
7.292991, NEH4.1.3, 2.536993 
7.296662, NEL2.1.1, 0.598643 
7.291544, NEL3.2.1, 1.335977 
7.201551, NEL3.3.1, 3.420315 
7.202377, NEL3.3.1, 3.428228 
7.198365, NEL3.2.1, 0.953384 
7.210077, NEL3.2.1, 0.995744 
7.207600, NEL3.2.1, 0.986656 
7.209159, NEL2.1.1, 0.362328 
7.206431, NEL4.1.2, 12.016050 
7.214276, NEL4.1.2, 12.215249 
7.217638, NEL4.1.3, 12.301256 
7.211181, NEL4.1.3, 12.136412 
7.212878, NEL4.1.2, 12.179599 
7.215888, NEL3.3.1, 3.559680 
7.242330, NEL4.1.3, 12.944666 
7.252232, NEH4.1.3, 2.032506 
7.237275, NEL3.2.1, 1.100206 
7.259371, NEL4.1.3, 13.400754 
7.247249, NEL3.3.1, 3.879734 
7.273937, NEL3.2.1, 1.255302 
7.274933, NEL2.1.1, 0.530102 
7.275380, NEL3.2.1, 1.261758 
7.245118, NEL3.3.1, 3.857313 
7.248260, NEH4.1.3, 1.988105 
7.248832, NEL3.3.1, 3.896453 
7.243172, NEL1.3.2, 12.966971 
7.243172, NEH3.2.1, 1.124019 
7.243172, ER1.1.1.1, 0.068681 
7.243172, NEL1.3.2, 12.966971 
7.243172, NEH4.1.3, 1.932399 
7.243172, NEL1.3.2, 12.966971 
7.243172, ER4.1.1.2, 0.791203 
7.243172, NEL3.2.1, 1.124019 
7.243172, NEL3.2.1, 1.124019 
7.243172, NEL3.3.1, 3.836926 
7.243172, NEH2.1.2, 10.783059 
7.294159, NEL3.2.1, 1.348315 
7.301878, NEL3.2.1, 1.385286 
7.320021, NEL2.1.1, 0.680713 
7.281957, NEH2.1.1, 5.288679 
7.309444, NEH4.1.2, 2.767518 
7.209271, NEL1.3.1, 6.317702 
7.213046, NEH4.1.2, 1.628353 
7.343452, NEH4.1.3, 3.297583 
7.317376, NEH4.1.2, 2.884545 
7.319567, NEH4.1.3, 2.917563 
7.302669, NEL3.2.1, 1.389121 
7.319954, NEH4.1.3, 2.923427 
7.343130, NEH4.1.2, 3.292210 
7.417810, NEL3.2.1, 2.048144 
7.415735, NEH4.1.2, 4.691799 
7.418543, NEH4.1.3, 4.753974 
7.359617, NEL3.2.1, 1.689096 
7.126659, NEL4.1.3, 10.108769 
7.126659, NEL4.1.3, 10.108769 
7.126659, NEL4.1.2, 10.108769 
7.139643, ER1.1.1.3, 0.024326 
7.141600, NEL4.1.2, 10.449651 
7.144396, NEH4.1.2, 1.081610 
7.142998, ER1.1.1.3, 0.025195 
7.126659, NEL3.2.1, 0.725630 
7.126659, NEL1.3.1, 5.009929 
7.126659, NEL3.2.1, 0.725630 
7.142579, NEL3.2.1, 0.771757 
7.141740, NEL1.3.1, 5.232115 
7.568991, NEL4.1.1, 10.275124 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEL1.4.1, 24.304734 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEL1.4.1, 24.304734 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEH2.1.1, 12.074049 
7.648280, NEL1.4.2, 32.649672 
7.648280, NEL1.4.1, 24.304734 
7.648280, NEL1.4.1, 24.304734 
7.648280, NEL2.1.2, 9.023670 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEH4.1.1, 12.284343 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEL1.4.1, 24.304734 
7.648280, NEL2.1.2, 9.023670 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEH4.1.1, 12.284343 
7.648280, NEH2.1.1, 12.074049 
7.648280, NEL2.1.1, 3.283985 
7.647370, NEL2.1.1, 3.271540 
7.648251, NEL2.1.1, 3.283588 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEH4.1.2, 12.284343 
7.648280, NEL2.1.2, 9.023670 
7.648280, NEL3.2.1, 4.111102 
7.648280, NEH2.1.1, 12.074049 
7.648280, NEL3.1.1, 1.959011 
7.648280, NEL2.1.1, 3.283985 
7.575205, NEL2.1.1, 2.397837 
7.537342, NEH2.1.1, 9.609599 
7.520588, NEL2.1.1, 1.871127 
7.510594, NEL2.1.1, 1.785910 
7.457604, NEL2.1.2, 4.456879 
7.457301, NEL2.1.1, 1.383797 
7.452151, NEH2.1.2, 16.364899 
7.447000, NEL2.1.1, 1.315529 
7.444879, NEL2.1.1, 1.301828 
7.126659, NEL2.1.1, 0.218788 
7.126659, NEL3.2.1, 0.725630 
7.126659, NEL2.1.1, 0.218788 
7.126659, NEL2.1.1, 0.218788 
7.126659, NEL4.1.1, 3.488053 
7.126659, NEL2.1.1, 0.218788 
7.126659, NEL2.1.1, 0.218788 
7.126659, NEL2.1.1, 0.218788 
7.126659, NEL2.1.1, 0.218788 
7.126659, NEL2.1.1, 0.218788 
7.126659, NEL2.1.2, 0.942671 
7.210390, NEH4.1.2, 1.603574 
7.211089, NEL1.4.1, 9.937138 
7.210529, NEH1.4.1, 8.255553 
7.208852, NEL1.3.1, 6.310497 
7.209691, NEL1.3.1, 6.324930 
7.209691, NEL3.2.1, 0.994323 
7.207453, NEL1.4.1, 9.849317 
7.207174, NEH1.4.1, 8.191333 
7.205216, NEL1.4.1, 9.795548 
7.645980, NEL2.1.1, 3.252604 
7.646254, NEH2.1.1, 12.025729 
7.126659, NEL2.1.1, 0.218788 
7.126659, NEL3.1.1, 0.281427 
7.126659, NEL2.1.1, 0.218788 
7.126659, NEL2.1.1, 0.218788 
7.126659, NEL2.1.1, 0.218788 
7.126659, NEL3.2.1, 0.725630 
7.126659, NEL3.2.1, 0.725630 
7.126659, NEL2.1.1, 0.218788 
7.126659, NEL3.2.1, 0.725630 
7.126659, NEL2.1.1, 0.218788 
7.126659, NEL3.2.1, 0.725630 
7.126659, NEL2.1.1, 0.218788 
7.126659, NEL2.1.1, 0.218788 
7.126659, NEL2.1.1, 0.218788 
7.126659, NEL1.4.1, 8.032092 
7.126659, NEL2.1.1, 0.218788 
7.243172, NEL1.4.1, 10.734920 
7.243172, NEL1.4.1, 10.734920 
7.243172, NEL1.4.1, 10.734920 
7.243172, NEH1.3.1, 5.926941 
7.243172, NEL2.1.1, 0.442164 
7.243172, NEL2.1.1, 0.442164 
7.243172, NEL4.1.1, 4.785327 
7.243172, NEL2.1.1, 0.442164 
7.243172, NEL2.1.1, 0.442164 
7.243172, NEL3.1.1, 0.457358 
7.243172, NEL4.1.1, 4.785327 
7.243172, NEL4.1.2, 12.966971 
7.243172, NEH4.1.2, 1.932399 
7.243172, NEL4.1.3, 12.966971 
7.243172, NEH4.1.3, 1.932399 
7.243172, NEL2.1.1, 0.442164 
7.243172, NEL2.1.1, 0.442164 
7.243172, NEH2.1.1, 4.785327 
7.243172, NEH4.1.2, 1.932399 
7.243172, NEH4.1.2, 1.932399 
7.242827, NEL4.1.2, 12.957829 
7.240730, NEL4.1.1, 4.754879 
7.239751, NEL4.1.2, 12.876498 
7.240730, NEL4.1.3, 12.902348 
7.236395, NEL2.1.1, 0.425136 
7.233459, NEL3.2.1, 1.085022 
7.232061, NEL2.1.1, 0.414548 
7.647292, NEH4.1.1, 12.240611 
7.647312, NEH4.1.2, 12.241495 
7.647625, NEL3.1.1, 1.954940 
7.648280, NEL3.2.1, 4.111102 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEH2.1.1, 12.074049 
7.648280, NEL3.2.1, 4.111102 
7.648280, NEL3.2.1, 4.111102 
7.648280, NEH3.2.1, 4.111102 
7.648280, NEL2.1.2, 9.023670 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEL3.1.1, 1.959011 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEH2.1.1, 12.074049 
7.648280, NEL2.1.1, 3.283985 
7.548113, NEH4.1.2, 8.369957 
7.542900, NEL2.1.1, 2.073478 
7.534550, NEH4.1.3, 7.918364 
7.533858, NEL2.1.1, 1.989417 
7.521184, NEL2.1.1, 1.876312 
7.518458, NEH4.1.1, 7.405801 
7.467905, NEL2.1.1, 1.457137 
7.468208, NEL2.1.1, 1.459279 
7.470025, NEL2.1.1, 1.472181 
7.476388, NEL2.1.1, 1.518114 
7.646019, NEH4.1.2, 12.184417 
7.646548, NEH4.1.2, 12.207748 
7.647135, NEH4.1.3, 12.233671 
7.647899, NEL4.1.2, 26.314963 
7.648036, NEL2.1.1, 3.280644 
7.648280, NEH4.1.2, 12.284343 
7.648280, NEH4.1.2, 12.284343 
7.648280, NEH4.1.3, 12.284343 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEL3.2.1, 4.111102 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEL3.1.1, 1.959011 
7.648280, NEL4.1.2, 26.329746 
7.640029, NEH4.1.1, 11.922313 
7.566341, NEL2.1.1, 2.304994 
7.566341, NEL2.1.1, 2.304994 
7.557227, NEL2.1.1, 2.212601 
7.576619, NEL2.1.1, 2.412924 
7.464875, NEH4.1.3, 5.874171 
7.464875, NEL2.1.1, 1.435858 
7.465784, NEL2.1.1, 1.442214 
7.469116, NEL2.1.1, 1.465715 
7.646489, NEL2.1.1, 3.259528 
7.646705, NEL2.1.1, 3.262470 
7.646646, NEH2.1.1, 12.035069 
7.632922, NEH3.2.1, 3.937062 
7.647135, NEH2.1.1, 12.046726 
7.648036, NEL3.2.1, 4.108292 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEL2.1.2, 9.023670 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEH4.1.3, 12.284343 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEL3.1.1, 1.959011 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEL2.1.1, 3.283985 
7.648280, NEL3.1.1, 1.959011 
7.594651, NEL1.4.2, 30.154099 
7.562929, NEL2.1.1, 2.270045 
7.563449, NEL2.1.1, 2.275343 
7.461845, NEL2.1.1, 1.414838 
7.464875, NEL2.1.1, 1.435858 
7.464875, NEL2.1.1, 1.435858 
7.468511, NEL2.1.1, 1.461424 
7.126659, NEL2.1.1, 0.218788 
7.126659, NEH2.1.1, 3.488053 
7.126659, NEL2.1.1, 0.218788 
7.126659, NEL2.1.1, 0.218788 
7.126659, NEL3.1.1, 0.281427 
7.126659, NEL2.1.1, 0.218788 
7.126659, NEH2.1.1, 3.488053 
7.126659, NEL2.1.1, 0.218788 
7.126659, NEL3.1.1, 0.281427 
7.126659, NEL4.1.1, 3.488053 
7.126659, NEL3.1.1, 0.281427 
7.126659, NEH2.1.1, 3.488053 
7.126659, NEL3.1.1, 0.281427 
7.126659, NEL4.1.1, 3.488053 
7.243172, NEH4.1.1, 1.932399 
7.243172, NEH4.1.1, 1.932399 
7.243172, NEL3.1.1, 0.457358 
7.243172, NEH4.1.2, 1.932399 
7.243172, NEH4.1.2, 1.932399 
7.243172, NEH4.1.3, 1.932399 
7.243172, NEH4.1.3, 1.932399 
7.243172, NEH4.1.3, 1.932399 
7.243172, NEL3.1.1, 0.457358 
7.243172, NEL2.1.1, 0.442164 
7.243172, NEL3.1.1, 0.457358 
7.243172, NEL3.1.1, 0.457358 
7.243172, NEL3.1.1, 0.457358 
7.243172, NEL3.1.1, 0.457358 
7.243172, NEL3.1.1, 0.457358 
7.243172, NEL2.1.1, 0.442164 
7.243172, NEL3.1.1, 0.457358 
7.243172, NEL3.1.1, 0.457358 
7.243172, NEH4.1.2, 1.932399 
7.243172, NEH4.2.2, 4.882327 
7.243172, NEH4.1.3, 1.932399 
7.243172, NEH4.1.2, 1.932399 
7.243172, NEH4.1.2, 1.932399 
7.243172, NEH4.1.3, 1.932399 
7.243172, NEH4.1.2, 1.932399 
7.243172, NEH4.1.2, 1.932399 
7.243172, NEH4.1.3, 1.932399 
7.243172, NEH4.1.2, 1.932399 
